fid,name,description,ratingCount,ratingValue,contentRating,genre,keywords,duration,datePublished,actor,director,image
3464768,Uno,Struggling public defender Jimmy McGill constructs an elaborate yet questionable plan for winning back a pair of wealthy potential clients.,24595,8.4,TV-14,"Crime,Drama","fake accident,public defender,lawyer,electromagnetic hypersensitivity,parking attendant",3240,2015-02-08,"Bob Odenkirk,Jonathan Banks,Rhea Seehorn",Vince Gilligan,https://m.media-amazon.com/images/M/MV5BNmU0ZThiMWQtYTA3ZS00MDgzLWEzNGMtMTBhMDk3OTllOWY1XkEyXkFqcGc@._V1_.jpg
12981674,Chapter 12: The Siege,The Mandalorian rejoins old allies for a new mission.,23323,8.3,TV-14,"Action,Adventure,Fantasy","directed by cast member,high speed chase,tie fighter,scout trooper,stormtrooper",2220,2020-11-20,"Pedro Pascal,Gina Carano,Carl Weathers",Carl Weathers,https://m.media-amazon.com/images/M/MV5BNWNjNjdiOGItM2M0Zi00ZDY1LWEwNTctYzVhMDBmMTA0ZWRmXkEyXkFqcGc@._V1_.jpg
94027,Stand and Deliver,"The story of Jaime Escalante, a high school teacher who successfully inspired his dropout-prone students to learn calculus.",22844,7.3,PG,"Biography,Drama","calculus,institutional discrimination,national film registry,restaurant,volkswagen beetle",6180,1988-03-11,"Edward James Olmos,Estelle Harris,Mark Phelan",Ramón Menéndez,https://m.media-amazon.com/images/M/MV5BNjc2OTljZDgtNzhjMi00NGVkLTlmOGMtZjZlMjRkZTdmN2ViXkEyXkFqcGc@._V1_.jpg
42788,Night and the City,A small-time grifter and nightclub tout takes advantage of some fortuitous circumstances and tries to become a big-time player as a wrestling promoter.,15720,7.9,Approved,"Crime,Film-Noir,Sport","british noir,wrestling,hustler,manhunt,east end london",6060,1950-06-28,"Richard Widmark,Gene Tierney,Googie Withers",Jules Dassin,https://m.media-amazon.com/images/M/MV5BYzUwNjAyY2UtN2UzOS00ODI4LWIyNGItMTMxMTgwMjk0MDNhXkEyXkFqcGc@._V1_.jpg
7255502,The Kominsky Method,"An aging actor, who long ago enjoyed a brush with fame, makes his living as an acting coach.",45045,8.2,C18,"Comedy,Drama","aging,friendship,male protagonist,male friendship,acting coach",,2018-11-16,"Michael Douglas,Sarah Baker,Graham Rogers",,https://m.media-amazon.com/images/M/MV5BMjUzNDU1MDM0NF5BMl5BanBnXkFtZTgwOTM5NzI1NjM@._V1_.jpg
443676,Undisputed II: Last Man Standing,"Sequel to the 2002 film. This time, Heavyweight Champ George ""Iceman"" Chambers is sent to a Russian Jail on trumped-up drug charges.",40110,7.0,R,"Action,Crime,Drama","kicked in the stomach,low budget,combat sport,release from jail,russian prison",5880,2007-02-28,"Michael Jai White,Scott Adkins,Ben Cross",Isaac Florentine,https://m.media-amazon.com/images/M/MV5BMjE2MDA1MzgwMl5BMl5BanBnXkFtZTcwODg4NzAzMQ@@._V1_.jpg
95519,License to Drive,A teen decides to go for a night on the town with his friends despite flunking his driver's test.,23246,6.3,PG-13,Comedy,"los angeles california,driving test,teenage boy,teenage girl,teen movie",5280,1988-07-06,"Corey Haim,Corey Feldman,Carol Kane",Greg Beeman,https://m.media-amazon.com/images/M/MV5BMjlhMDE2NmMtMTNmZC00Y2U4LWE0M2EtMTYwZmNjMGE0YzlmXkEyXkFqcGc@._V1_.jpg
1878841,The Darkness,"A family unknowingly awakens an ancient supernatural entity on a Grand Canyon vacation, and must fight for survival when it follows them home.",17328,4.5,PG-13,"Horror,Thriller","autistic child,demon,grand canyon,handprint,cursed object",5520,2016-05-13,"Kevin Bacon,Radha Mitchell,David Mazouz",Greg McLean,https://m.media-amazon.com/images/M/MV5BMjIxMTg2NjAyMV5BMl5BanBnXkFtZTgwNDE5ODIxODE@._V1_.jpg
2140465,Tanu Weds Manu Returns,Tanu and Manu's marriage collapses. What happens when Manu meets Tanu's lookalike Kusum - and when Tanu returns?,30038,7.6,Not Rated,"Comedy,Drama,Romance","husband wife relationship,second part,manic pixie dream girl,midlife crisis,boredom",7680,2015-05-22,"Kangana Ranaut,Madhavan,Gunnit Kaur",Aanand L. Rai,https://m.media-amazon.com/images/M/MV5BMjMwMTExMjA1OV5BMl5BanBnXkFtZTgwNDI5MTcyNjE@._V1_.jpg
8143990,Kajillionaire,A woman's life is turned upside down when her criminal parents invite an outsider to join them on a major heist they're planning.,22761,6.4,R,"Comedy,Crime,Drama","title directed by female,f rated,lesbian,heist,absurdism",6240,2020-09-25,"Richard Jenkins,Debra Winger,Evan Rachel Wood",Miranda July,https://m.media-amazon.com/images/M/MV5BNjliN2U3NTMtZDNmNy00MWJmLWFlMzgtOTFjNDBlOWZiYTQ4XkEyXkFqcGc@._V1_.jpg
361217,Nip/Tuck,Two plastic surgeons--one a dedicated family man and one an unscrupulous playboy--strive to maintain their business whilst having to work their way through numerous hardships ranging from personal to clients with criminal connecti...,59536,7.7,TV-MA,Drama,"plastic surgeon,nudity,blood,miami florida,friendship",,2003-07-22,"Dylan Walsh,Julian McMahon,Joely Richardson",,https://m.media-amazon.com/images/M/MV5BMjA3NjM2MDEwMl5BMl5BanBnXkFtZTcwMDkyMjU1MQ@@._V1_.jpg
3276924,Heist,"A father is without the means to pay for his daughter's medical treatment. As a last resort, he partners with a greedy co-worker to rob a casino. When things go awry they're forced to hijack a city bus.",33320,6.1,R,"Action,Crime,Drama","overalls,no opening credits,2010s,father,daughter",5580,2015-11-13,"Robert De Niro,Jeffrey Dean Morgan,Dave Bautista",Scott Mann,https://m.media-amazon.com/images/M/MV5BMjEzNTkyMDE3NV5BMl5BanBnXkFtZTgwMTM2MDY4NjE@._V1_.jpg
