fid,name,description,ratingCount,ratingValue,contentRating,genre,keywords,duration,datePublished,actor,director,image
2017038,All Is Lost,"After a collision with a shipping container at sea, a resourceful sailor finds himself, despite all efforts to the contrary, staring his mortality in the face.",84759,6.9,PG-13,"Action,Adventure,Drama","one man film,perseverance,male protagonist,sea adventure,survival adventure",6360,2013-10-25,Robert Redford,J.C. Chandor,https://m.media-amazon.com/images/M/MV5BMjI0MzIyMjU1N15BMl5BanBnXkFtZTgwOTk1MjQxMDE@._V1_.jpg
8178634,RRR (Rise Roar Revolt),A fearless warrior on a perilous mission comes face to face with a steely cop serving British forces in this epic saga set in pre-independent India.,173947,7.8,TV-MA,"Action,Adventure,Drama","1920s,forest,torture,bare chested male,male friendship",11220,2022-03-25,"N.T. Rama Rao Jr.,Ram Charan,Ajay Devgn",S.S. Rajamouli,https://m.media-amazon.com/images/M/MV5BNWMwODYyMjQtMTczMi00NTQ1LWFkYjItMGJhMWRkY2E3NDAyXkEyXkFqcGc@._V1_.jpg
0397535,Memoirs of a Geisha,"The heartwarming tale of Nitta Sayuri, a young Japanese woman who transcended from her fishing-village roots and became one of Japan's most celebrated geisha.",164348,7.3,PG-13,"Drama,Romance","female protagonist,period drama,1920s,chinese actress playing japanese character,geisha",8700,2006-10-20,"Ziyi Zhang,Ken Watanabe,Michelle Yeoh",Rob Marshall,https://m.media-amazon.com/images/M/MV5BMTYxMzM4NTEzOV5BMl5BanBnXkFtZTcwNDMwNjQzMw@@._V1_.jpg
8503618,Hamilton,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.",121997,8.3,PG-13,"Biography,Drama,History","alexander hamilton character,revolutionary war,american history,epic,shot to death",9600,2020-07-03,"Lin-Manuel Miranda,Phillipa Soo,Leslie Odom Jr.",Thomas Kail,https://m.media-amazon.com/images/M/MV5BYzBhOWY4ZTktMjE2NS00ZGIyLWJkOGMtNDQyN2JjZWFiODdiXkEyXkFqcGc@._V1_.jpg
0049366,Invasion of the Body Snatchers,A small-town doctor learns that the population of his community is being replaced by emotionless alien duplicates.,56603,7.7,Approved,"Drama,Horror,Sci-Fi","alien invasion,small town,alien infiltration,seed pod,survival",4800,1956-02-05,"Kevin McCarthy,Dana Wynter,Larry Gates",Don Siegel,https://m.media-amazon.com/images/M/MV5BNzJkNWI2YTgtNWZkOS00YWE5LWIyZmMtZjI5NjI3NGY5ZGIxXkEyXkFqcGc@._V1_.jpg
1924429,Trance,An art auctioneer mixed up with a group of criminals partners with a hypnotherapist in order to recover a lost painting.,118793,6.9,R,"Crime,Drama,Mystery","lost painting,heist,female star appears nude,female full frontal nudity,female frontal nudity",6060,2013-05-03,"James McAvoy,Rosario Dawson,Vincent Cassel",Danny Boyle,https://m.media-amazon.com/images/M/MV5BMjMzNjU1MTg5NF5BMl5BanBnXkFtZTcwMTExMTcwOQ@@._V1_.jpg
0303816,Cabin Fever,"Five college graduates rent a cabin in the woods and begin to fall victim to a horrifying flesh-eating virus, which attracts the unwanted attention of the homicidal locals.",85432,5.6,C18,Horror,"flesh eating virus,cabin in the woods,skin infection,disease,backwoods",5580,2003-09-12,"Jordan Ladd,Rider Strong,James DeBello",Eli Roth,https://m.media-amazon.com/images/M/MV5BMTEwNTU3NzM2NDJeQTJeQWpwZ15BbWU2MDY2ODcyNw@@._V1_.jpg
9071322,Dark Waters,A corporate defense attorney takes on an environmental lawsuit against a chemical company that exposes a lengthy history of pollution.,111907,7.6,PG-13,"Biography,Drama,History","environmental pollution,water pollution,lawyer as protagonist,lawsuit,corporation",7560,2019-12-06,"Mark Ruffalo,Anne Hathaway,Tim Robbins",Todd Haynes,https://m.media-amazon.com/images/M/MV5BNmQzM2M4MTEtZjM3Yy00Njk1LWJmNjQtYzg4YjVmZmZkZDA0XkEyXkFqcGc@._V1_.jpg
3410834,Allegiant,"After the earth-shattering revelations of Insurgent, Tris must escape with Four beyond the wall that encircles Chicago to finally discover the shocking truth of the world outside.",138349,5.7,PG-13,"Action,Adventure,Mystery","based on young adult novel,dystopia,tough girl,surveillance,based on novel",7200,2016-03-18,"Shailene Woodley,Theo James,Jeff Daniels",Robert Schwentke,https://m.media-amazon.com/images/M/MV5BMzZlYzZlNDktMDAxMS00OGZiLThkYzAtNWEzNDliYjAyZmM5XkEyXkFqcGc@._V1_.jpg
4651520,Bad Moms,"When three overworked and under-appreciated moms are pushed beyond their limits, they ditch their conventional responsibilities for a jolt of long overdue freedom, fun and comedic self-indulgence.",136655,6.2,R,Comedy,"female full frontal nudity,female frontal nudity,pubic hair,female nudity,nudity",6000,2016-08-12,"Mila Kunis,Kathryn Hahn,Kristen Bell","Jon Lucas,Scott Moore",https://m.media-amazon.com/images/M/MV5BMjIwNzE5MTgwNl5BMl5BanBnXkFtZTgwNjM4OTA0OTE@._V1_.jpg
