fid,name,description,ratingCount,ratingValue,contentRating,genre,keywords,duration,datePublished,actor,director,image
0763831,A Thousand Words,"After stretching the truth on a deal with a spiritual guru, literary agent Jack McCall finds a Bodhi tree on his property. Its appearance holds a valuable lesson on the consequences of every word he speaks.",45552,5.9,PG-13,"Comedy,Drama,Fantasy","liar,supernatural power,psychotronic film,slimehouse,basketball hoop over trash can",5460,2012-03-09,"Eddie Murphy,Cliff Curtis,Kerry Washington",Brian Robbins,https://m.media-amazon.com/images/M/MV5BMTAzODAwODkwMjBeQTJeQWpwZ15BbWU3MDI4MDE3NDc@._V1_.jpg
0105046,Of Mice and Men,"A nomadic farm worker looks after his dimwitted, gentle-giant friend during the Great Depression.",48449,7.4,PG-13,"Drama,Western","california,friendship between men,mental retardation,loneliness,ranch hand",6900,1992-10-02,"John Malkovich,Gary Sinise,Ray Walston",Gary Sinise,https://m.media-amazon.com/images/M/MV5BODYwNDdlNGUtMDY0ZS00YjI3LWI1MjUtYjE4ODYyZTQwYjVlXkEyXkFqcGc@._V1_.jpg
0248808,For the Birds,A group of snooty birds roosting on a telephone wire get their just deserts when a goofy bird drops in.,34635,8,G,"Animation,Short,Comedy","bird,telephone wire,mockery,bird loses feathers,embarrassment",180,2001-11-02,Ralph Eggleston,Ralph Eggleston,https://m.media-amazon.com/images/M/MV5BNzdmYzM2YmMtMzcxMC00NWQ1LTliYjktOGEyN2UwMTFlZmE5XkEyXkFqcGc@._V1_.jpg
0082031,Arthur,"Alcoholic billionaire playboy Arthur Bach must marry a woman he does not love, or he will be cut off from his $750,000,000 fortune. But when Arthur falls in love with a poor waitress, he must decide if he wants to choose love or m...",31860,6.9,PG,"Comedy,Romance","drunkenness,heir,love,character name as title,blockbuster",5820,1981-07-17,"Dudley Moore,Liza Minnelli,John Gielgud",Steve Gordon,https://m.media-amazon.com/images/M/MV5BNWRhYzc3MDktOGY0My00NmE0LWE0OWEtNTFkMmVhMWFmNDE2XkEyXkFqcGc@._V1_.jpg
4080728,En man som heter Ove,"Ove, an ill-tempered, isolated retiree who spends his days enforcing block association rules and visiting his wife's grave, has finally given up on life just as an unlikely friendship develops with his boisterous new neighbors.",70573,7.7,PG-13,"Comedy,Drama,Romance","grumpy old man,curmudgeon,sweden,botched suicide,suicide attempt",6960,2015-12-25,"Rolf Lassgård,Bahar Pars,Filip Berg",Hannes Holm,https://m.media-amazon.com/images/M/MV5BMjE0NDUyOTc2MV5BMl5BanBnXkFtZTgwODk2NzU3OTE@._V1_.jpg
0079844,Salem's Lot,A novelist and a young horror fan attempt to save a small New England town which has been invaded by vampires.,30106,6.7,PG,Horror,"vampire,writer,antique shop,1970s,based on the works of stephen king",0,1979-11-17,"David Soul,James Mason,Lance Kerwin",,https://m.media-amazon.com/images/M/MV5BNDBiMTM5MGEtNzA2Ni00MWJiLWI3NzItODFjZDQ3ZjFiMGI3XkEyXkFqcGc@._V1_.jpg
0097499,Henry V,"In the midst of the Hundred Years War, the young King Henry V of England embarks on the conquest of France in 1415.",32201,7.5,PG-13,"Biography,Drama,History","king,battle,shakespeare play,battlefield,france",8220,1989-11-08,"Kenneth Branagh,Derek Jacobi,Simon Shepherd",Kenneth Branagh,https://m.media-amazon.com/images/M/MV5BNzNiMWM3NGEtZWMxYi00NzM0LWE2ODItMzZlNTZmYTJhZWY1XkEyXkFqcGc@._V1_.jpg
0048281,The Ladykillers,Five oddball criminals planning a bank robbery rent rooms on a cul-de-sac from an octogenarian widow under the pretext that they are classical musicians.,32396,7.6,Not Rated,"Comedy,Crime","bank robbery,poetic justice,cockatoo,house,police",5460,1956-02-03,"Alec Guinness,Peter Sellers,Cecil Parker",Alexander Mackendrick,https://m.media-amazon.com/images/M/MV5BMjlhZWM3MjktYTIwZS00YTVmLTljZDYtZWYwYjFiOTc5NDMzXkEyXkFqcGc@._V1_.jpg
3750872,The Wife,A wife questions her life choices as she travels to Stockholm to see her husband receive the Nobel Prize for Literature.,43777,7.2,R,Drama,"nobel prize for literature,year 1992,writer,marriage,1950s",5940,2018-09-27,"Glenn Close,Jonathan Pryce,Max Irons",Björn Runge,https://m.media-amazon.com/images/M/MV5BNjMyYzVjNzYtNzNjNS00NzliLThiYWUtYWJmMmI0Zjc0MmNjXkEyXkFqcGc@._V1_.jpg
4288182,Atlanta,"Earn and his cousin, Alfred, try to make their way in the world through Atlanta's rap scene. Along the way they come face-to-face with social and economic issues touching on race, relationships, poverty, status and parenthood.",91894,8.6,TV-MA,"Comedy,Drama,Music","african american,satire,atlanta georgia,rapper,cousin cousin relationship",0,2016-09-06,"Donald Glover,Brian Tyree Henry,LaKeith Stanfield",,https://m.media-amazon.com/images/M/MV5BMDAzMDdkZmEtN2QxMi00NGQ2LTg3MTEtYTBlMmNmYmJjOTc1XkEyXkFqcGc@._V1_.jpg
3077214,Suffragette,"In 1912 London, a young working mother is galvanized into radical political activism supporting the right for women to vote, and is willing to meet violence with violence to achieve this end.",45308,6.9,PG-13,"Drama,History","suffragette,f rated,women's suffrage,women's equality,women's rights",6360,2015-10-12,"Carey Mulligan,Anne-Marie Duff,Helena Bonham Carter",Sarah Gavron,https://m.media-amazon.com/images/M/MV5BMjA2NDYxOTI1MV5BMl5BanBnXkFtZTgwOTgyMjU3NjE@._V1_.jpg
0141109,Jack Frost,"A father who can't keep his promises is killed in a car accident. One year later, he returns as a snowman who has the final chance to put things right with his son before he is gone forever.",42041,5.5,P,"Comedy,Drama,Family","mother son relationship,redemption,snowman,husband wife relationship,magic",6060,1998-12-11,"Michael Keaton,Kelly Preston,Joseph Cross",Troy Miller,https://m.media-amazon.com/images/M/MV5BY2U2MmNkZjAtNTVmOS00MzViLTgzNjUtZmQ0NTE5MWU3NjI4XkEyXkFqcGc@._V1_.jpg
0120693,Half Baked,The story of three not so bright men who come up with a series of crazy schemes to get a friend out of jail.,68870,6.6,R,"Comedy,Crime","friendship between men,roommate roommate relationship,actor plays multiple roles,marijuana,janitor",4920,1998-01-16,"Dave Chappelle,Guillermo Diaz,Jim Breuer",Tamra Davis,https://m.media-amazon.com/images/M/MV5BNTYyMDI1MzMtMzk3MC00MDA5LTgwZTgtZjYxZjc0ZmUwNGMxXkEyXkFqcGc@._V1_.jpg
